,REPORTER,Reporter country,FLOW,Flow,PARTNER,Partner country and zone,SECTOR,Year,Unit Code,PowerCode,Value
5459,CAN,Canada,2,Exports,AUT,Austria,TOTAL,2008,USD,Millions,423.719
5460,CAN,Canada,2,Exports,AUT,Austria,TOTAL,2009,USD,Millions,327.329
5461,CAN,Canada,2,Exports,AUT,Austria,TOTAL,2010,USD,Millions,333.633
5462,CAN,Canada,2,Exports,AUT,Austria,TOTAL,2011,USD,Millions,367.03
5463,CAN,Canada,2,Exports,AUT,Austria,TOTAL,2012,USD,Millions,304.765
5464,CAN,Canada,2,Exports,AUT,Austria,TOTAL,2013,USD,Millions,384.511
5465,CAN,Canada,2,Exports,AUT,Austria,TOTAL,2014,USD,Millions,206.869
5466,CAN,Canada,2,Exports,AUT,Austria,TOTAL,2015,USD,Millions,245.883
5467,CAN,Canada,2,Exports,AUT,Austria,TOTAL,2016,USD,Millions,159.065
5468,CAN,Canada,2,Exports,AUT,Austria,TOTAL,2017,USD,Millions,251.278
5469,CAN,Canada,2,Exports,AUT,Austria,TOTAL,2019,USD,Millions,175.791
5470,CAN,Canada,2,Exports,AUT,Austria,TOTAL,2020,USD,Millions,122.982
5471,CAN,Canada,2,Exports,AUT,Austria,TOTAL,2021,USD,Millions,263.261
5473,FRA,France,2,Exports,AUT,Austria,TOTAL,2008,USD,Millions,5385.66
5474,FRA,France,2,Exports,AUT,Austria,TOTAL,2009,USD,Millions,4094.01
5475,FRA,France,2,Exports,AUT,Austria,TOTAL,2010,USD,Millions,4466.79
5476,FRA,France,2,Exports,AUT,Austria,TOTAL,2011,USD,Millions,5261.7
5477,FRA,France,2,Exports,AUT,Austria,TOTAL,2012,USD,Millions,4019.27
5478,FRA,France,2,Exports,AUT,Austria,TOTAL,2013,USD,Millions,4041.87
5479,FRA,France,2,Exports,AUT,Austria,TOTAL,2014,USD,Millions,4019.33
5480,FRA,France,2,Exports,AUT,Austria,TOTAL,2015,USD,Millions,3219.91
5481,FRA,France,2,Exports,AUT,Austria,TOTAL,2016,USD,Millions,3440.54
5482,FRA,France,2,Exports,AUT,Austria,TOTAL,2017,USD,Millions,3447.71
5483,FRA,France,2,Exports,AUT,Austria,TOTAL,2018,USD,Millions,3552.09
5484,FRA,France,2,Exports,AUT,Austria,TOTAL,2019,USD,Millions,3368.72
5485,FRA,France,2,Exports,AUT,Austria,TOTAL,2020,USD,Millions,3076.12
5486,FRA,France,2,Exports,AUT,Austria,TOTAL,2021,USD,Millions,3886.55
5487,DEU,Germany,2,Exports,AUT,Austria,TOTAL,2008,USD,Millions,64370.5
5488,DEU,Germany,2,Exports,AUT,Austria,TOTAL,2009,USD,Millions,54855.8
5489,DEU,Germany,2,Exports,AUT,Austria,TOTAL,2010,USD,Millions,57860.4
5490,DEU,Germany,2,Exports,AUT,Austria,TOTAL,2011,USD,Millions,65998.0
