Country,Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Flag URL
Belgium,Western Europe,981326.459,747827.235,829072.308,1985660.508,1422569.309,1481348.008,1493351.075,1242304.013,1232898.818,1316462.883,974808.335,941890.822,892014.342,1078402.652,https://public.flourish.studio/country-flags/svg/be.svg
Canada,North America,1076405.312,1189817.446,1565681.257,1385775.742,1413163.957,1345108.953,1347968.344,1216495.901,1163274.209,1257659.205,0,1335134.624,1190388.455,1426511.297,https://public.flourish.studio/country-flags/svg/ca.svg
France,Western Europe,3005203.704,1777592.68,1948287.022,2988287.919,1889771.722,1914738.539,1908250.543,1605809.207,1590026.786,1680998.088,1831626.917,1749814.53,1540221.134,1908119.026,https://public.flourish.studio/country-flags/svg/fr.svg
Germany,Western Europe,4736865.249,2700737.184,3400777.859,5272200.31,3490368.035,3253810.968,3390032.264,2933873.231,2771077.436,3159014.847,3475105.258,3406099.496,3270503.062,4003761.874,https://public.flourish.studio/country-flags/svg/de.svg
Italy,Southern Europe,2386259.17,1327172.921,1568242.179,2216973.846,1364955.373,1344087.002,1333262.148,1151651.832,1109979.313,1232733.832,1365673.47,1313450.124,1179951.176,1516814.118,https://public.flourish.studio/country-flags/svg/it.svg
Netherlands,Western Europe,0,1355187.576,1717820.085,1754446.637,1441152.157,1518051.699,1514012.721,1221809.39,1188099.273,1327422.091,1476522.885,1463353.845,1362718.551,1707296.387,https://public.flourish.studio/country-flags/svg/nl.svg
Poland,Eastern Europe,878272.484,459520.427,574312.083,882900.994,582431.131,608828.684,647521.903,551002.426,538572.32,622892.463,715786.433,696850.125,665585.681,0,https://public.flourish.studio/country-flags/svg/pl.svg
Spain,Southern Europe,1769912.855,901429.8,1047810.491,1561845.066,1022227.699,1049152.799,1117040.074,941024.758,912842.758,1022863.194,1150615.22,1080924.657,943424.901,1200962.905,https://public.flourish.studio/country-flags/svg/es.svg
UK,Northern Europe,2758230.621,1579012.569,1869141.615,2920520.177,2234043.392,2104915.142,2206769.351,2017099.151,1980710.717,1955845.588,1992039.833,0,0,0,https://public.flourish.studio/country-flags/svg/gb.svg
USA,North America,0,4262115.874,7277332.617,8196989.157,6675228.282,6460610.147,6872942.237,6615353.579,6736294.271,6424203.114,6881181.693,6895112.5,6434105.695,0,https://public.flourish.studio/country-flags/svg/us.svg
