,Austria,Belgium,Bulgaria,Cyprus,Czech Republic,Germany,Denmark,Estonia,Greece,Spain,Finland,France,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia
Biogases,0.159666,0.245808,0.059697,0.013352,0.590822,7.518224,0.625647,0.01821,0.127201,0.325881,0.194373,1.404247,0.099221,0.084026,0.052044,2.078131,0.040174,0.016502,0.066003,0.001303,0.428175,0.319384,0.087226,0.023169,0.194755,0.024942,0.130696
Hydro,3.332015,0.03595,0.414377,0,0.207095,1.690284,0.001401,0.001978,0.507604,2.547377,1.357793,5.126825,0.612872,0.018229,0.064432,3.90268,0.032992,0.009184,0.232829,0,0.007579,0.201133,1.023864,1.497157,6.352966,0.405203,0.366122
Liquid biofuels,0.42238,0.431452,0.190523,0,0.269369,3.497042,0.004084,0,0.160071,1.889222,0.743196,1.935384,0.000344,0.492603,0.06787,1.348216,0.152114,0,0.065297,0,1.832061,1.036895,0.285057,0.236434,0.724224,0,0.176498
Natural gas,0.569615,0.003999,0.0264,0,0.166902,3.867199,1.264569,0,0.004059,0.034046,0,0.01999,0.623543,1.178396,1.263015,2.607871,0,0,0,0,15.516281,3.339874,0,7.425354,0,0.004383,0.048818
Nuclear,0,12.223218,4.294944,0,7.641632,17.76859,0,0,0,14.725,5.6092,98.864,0,4.034,0,0,0,0,0,0,0.89043,0,0,2.866,12.342,1.352443,4.05105
Oil and petroleum products,0.570333,0,0,0,0.088098,2.975609,3.324265,0,0.059432,0.005876,0,0.807217,0.631765,1.09005,0,5.228078,0.028808,0,0,0,1.149262,0.911553,0,3.231847,0,0.000314,0.007128
Oil shale and oil sands,0,0,0.007878,0,0,0,0,2.420443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peat and peat products,0,0,0,0,0,0,0,0.00853,0,0,0.244617,0,0,0,0.127704,0,0.004703,0,0.00048,0,0,0,0,0.001357,0.060607,0,0
Renewables and biofuels,10.737902,4.165378,2.964985,0.227994,5.616454,46.587779,4.601636,1.944819,3.682466,20.989562,13.18421,29.391768,2.654642,3.433111,1.499877,27.698062,1.872003,0.271787,2.699104,0.044797,7.960975,12.796209,6.789875,6.123663,22.526675,1.153863,2.350997
Solid biofuels,5.147034,1.319963,1.812371,0.023994,3.913173,13.970526,1.526647,1.809984,0.786861,5.27847,9.040341,10.745015,1.669106,2.193704,0.248196,7.590313,1.395672,0.18254,2.313766,0,1.724946,8.880842,2.922133,3.625312,10.264426,0.603954,1.495987
Solid fossil fuels,0,0,4.698652,0,10.475149,27.543709,0,0,1.439145,0,0,0,0,0.773076,0,0,0,0,0,0,0,42.04223,0,3.006285,0,0.716078,0.272168
"Wastes, Non-Renewable",0.679693,0.660507,0.074216,0.009773,0.366109,4.221338,0.381422,0.033683,0.007858,0.517324,0.322633,1.72549,0.045178,0.143331,0.142841,1.141808,0.090212,0.041551,0.012414,0,0.801661,0.984441,0.161752,0.317885,0.773431,0.054733,0.221816
Wind,0.579539,1.031608,0.123264,0.021193,0.051723,9.857868,1.380436,0.063027,0.901374,5.336285,0.731447,3.166926,0.177283,0.057094,0.840577,1.799424,0.117085,0.027026,0.012161,5.00E-06,1.548139,1.395834,1.136338,0.565396,2.342562,0.000481,0.00043
rown coal,0,0,4.698652,0,9.015013,27.543709,0,0,1.439145,0,0,0,0,0.773076,0,0,0,0,0,0,0,10.339283,0,3.006285,0,0.716078,0.272168
Crude oil and NGL,0.570333,0,0,0,0.085268,1.832462,3.324265,0,0.059432,0.005876,0,0.672466,0.631765,1.052111,0,4.840298,0.028808,0,0,0,0.866633,0.904627,0,3.231847,0,0.000314,0.007128
Hard coal,0,0,0,0,1.460136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.702946,0,0,0,0,0
Solar,0.415702,0.509083,0.155282,0.115931,0.218483,4.968926,0.181547,0.03041,0.755418,4.254799,0.028209,1.554657,0.029871,0.341922,0.022009,2.399804,0.016406,0.018195,0.001451,0.027213,1.016234,0.423484,0.297841,0.147638,0.141363,0.049129,0.066414
